b\n,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300,2400,2500,2600,2700,2800,2900,3000,3100,3200,3300,3400,3500,3600,3700,3800,3900,4000,4100,4200,4300,4400,4500,4600,4700,4800,4900,5000
100,0.000293188,0.000552329,0.000810287,0.00109305,0.00138078,0.0016312,0.00192142,0.00218319,0.00245767,0.00273474,0.00299998,0.00328242,0.00354808,0.00383721,0.00409855,0.00437711,0.0046545,0.00493404,0.00520222,0.00548928,0.00575956,0.0060254,0.00630422,0.00658016,0.00688482,0.00711574,0.00742321,0.00766677,0.00795813,0.008232,0.00853269,0.00881013,0.00910896,0.00936818,0.00973255,0.00994384,0.0102082,0.0104615,0.0107779,0.0110208,0.0113364,0.0115749,0.0118969,0.012129,0.0124466,0.0127245,0.0129973,0.0132329,0.0135316,0.0138324
200,0.000560094,0.00103312,0.00156104,0.0020819,0.0025904,0.0031141,0.00363962,0.00417194,0.00469822,0.00521426,0.00582398,0.00630647,0.00683999,0.00737862,0.0079059,0.00841937,0.00894452,0.00946353,0.0100177,0.0105458,0.0110589,0.0115967,0.0121491,0.0126829,0.0131876,0.013686,0.0141748,0.0147236,0.0152895,0.0158294,0.0163134,0.0168204,0.017545,0.0179495,0.0183783,0.0189786,0.019492,0.0200709,0.0205772,0.0210821,0.021622,0.0222335,0.0226762,0.0232255,0.0237539,0.0243045,0.0248052,0.0253438,0.0259114,0.0264269
300,0.000756888,0.0015339,0.00229224,0.00307649,0.00385746,0.00461586,0.00539151,0.00617936,0.0069283,0.0077131,0.00849392,0.00931958,0.010038,0.0108636,0.0116214,0.0124264,0.0132293,0.0139134,0.0147199,0.0154949,0.0162562,0.0170935,0.0178698,0.0186482,0.0194305,0.0202286,0.0210376,0.0218404,0.0227272,0.0234957,0.0242702,0.0250045,0.0257786,0.0266075,0.02745,0.0281903,0.0289647,0.0297725,0.0307437,0.031315,0.0320823,0.032983,0.0337341,0.0344662,0.0352685,0.0361123,0.0369182,0.037548,0.0384072,0.0391106
400,0.00101501,0.00203095,0.00305257,0.00409491,0.00513201,0.00615712,0.0071775,0.00822624,0.00925835,0.010274,0.0113304,0.0123905,0.0134295,0.0146209,0.0154591,0.0165061,0.0175882,0.0185911,0.0196169,0.0206854,0.0217377,0.0227366,0.0238062,0.0249111,0.025866,0.0269606,0.0280111,0.0289968,0.0300998,0.0310445,0.0321638,0.033177,0.0341988,0.0353214,0.0363064,0.037302,0.0384456,0.0394315,0.0404869,0.0415938,0.0424583,0.0436256,0.0446546,0.0457366,0.04674,0.0479632,0.0487824,0.0499297,0.0508479,0.0519255
500,0.00126376,0.00252576,0.00381466,0.00519852,0.00645887,0.00764131,0.00899105,0.0102414,0.0115084,0.0128632,0.0140961,0.0154589,0.0167434,0.0180077,0.0193177,0.0205929,0.021935,0.0232316,0.0244827,0.0258684,0.02704,0.0283401,0.0296514,0.0310227,0.032295,0.0336087,0.0348483,0.0361688,0.0374987,0.0388241,0.0400318,0.0413939,0.0427065,0.043971,0.0452278,0.0465517,0.0478265,0.0491832,0.05063,0.0518197,0.053019,0.0543614,0.0556614,0.0569282,0.0581535,0.0594665,0.0607797,0.062105,0.063347,0.0646871
600,0.00151629,0.00305809,0.00458671,0.00608599,0.00765661,0.00921262,0.0107527,0.0122922,0.0138786,0.0153885,0.0171127,0.0185159,0.020015,0.0216095,0.0231717,0.0247201,0.0262226,0.0277796,0.0293473,0.030888,0.0325,0.0340837,0.0356166,0.0371603,0.0385683,0.0402558,0.0418151,0.043653,0.0448605,0.046491,0.0481637,0.0496626,0.0512616,0.0527359,0.0544028,0.0559104,0.0575761,0.0590863,0.0605643,0.0620939,0.0639008,0.0651586,0.0666471,0.0683631,0.0699571,0.0714771,0.0729116,0.0745026,0.0761137,0.0776242
700,0.00179603,0.00357405,0.00534235,0.00712553,0.00890431,0.0107483,0.0126528,0.0144348,0.0161899,0.0183076,0.0199107,0.0217137,0.0234304,0.0252179,0.0270467,0.0289835,0.0307369,0.0325339,0.0343989,0.0362888,0.0380821,0.039809,0.0415854,0.043378,0.0452312,0.047322,0.0488529,0.0507803,0.0525095,0.0542889,0.0562607,0.0577974,0.0597358,0.0614622,0.0634406,0.0649703,0.0670559,0.0688948,0.0705123,0.0721849,0.0741352,0.0759929,0.0777067,0.0796157,0.0813995,0.0831441,0.0850239,0.0867555,0.088593,0.0903708
800,0.00205528,0.00408355,0.0061309,0.00818826,0.0102851,0.0122611,0.0142674,0.0163896,0.0184662,0.0205222,0.0225973,0.0247344,0.0267864,0.0289269,0.0309255,0.0333202,0.0351979,0.0372979,0.0392858,0.0414242,0.0434686,0.0461955,0.0476711,0.0495953,0.0518489,0.0536613,0.0558467,0.0578105,0.0599116,0.0620833,0.0641466,0.0660874,0.0681779,0.0702562,0.0724763,0.0743372,0.0763525,0.0786684,0.0806792,0.0827688,0.084507,0.0866372,0.0890794,0.0910591,0.0928848,0.0952427,0.0974205,0.0991453,0.101353,0.103439
900,0.00231754,0.00463035,0.00692268,0.00926149,0.011555,0.0139276,0.0163223,0.018531,0.020924,0.0232753,0.0255813,0.0278849,0.0301693,0.0325186,0.0350038,0.0373071,0.0395939,0.0419276,0.0441903,0.0466518,0.0488138,0.051215,0.0535049,0.0559367,0.0582463,0.0606073,0.0628531,0.0650972,0.0674433,0.0699422,0.072147,0.0745468,0.0765566,0.0792098,0.0813232,0.0837537,0.0862201,0.088346,0.0905143,0.0932268,0.0954333,0.0977735,0.10005,0.102172,0.10494,0.107311,0.109241,0.11155,0.113877,0.116738
