name,J,M,lb,ub,span,error,t_avg [ms],t_std [ms]
abz07,20,15,656,656,900,37%,5.1558e-01,7.0641e-02
abz08,20,15,648,667,879,35%,5.2611e-01,9.8167e-02
abz09,20,15,678,678,914,34%,4.2600e-01,7.5759e-02
swv01,20,10,1407,1407,1889,34%,2.8605e-01,5.2196e-02
swv02,20,10,1475,1475,1921,30%,2.9601e-01,6.3899e-02
swv03,20,10,1398,1398,2000,43%,4.0022e-01,3.0169e-02
swv04,20,10,1464,1464,2115,44%,4.2121e-01,5.6812e-02
swv05,20,10,1424,1424,2119,48%,3.7532e-01,4.2306e-02
swv06,20,15,1630,1669,2243,37%,5.2037e-01,6.1272e-02
swv07,20,15,1513,1595,2425,60%,5.9983e-01,5.7101e-02
swv08,20,15,1671,1751,2330,39%,4.3771e-01,5.2258e-02
swv09,20,15,1633,1655,2415,47%,4.6230e-01,5.3758e-02
swv10,20,15,1663,1743,2387,43%,5.7423e-01,6.3729e-02
swv11,50,10,2983,2983,3808,27%,1.8796e+00,3.7786e-01
swv12,50,10,2972,2977,3771,26%,1.4637e+00,1.2843e-01
swv13,50,10,3104,3104,3876,24%,2.0825e+00,1.5540e+00
swv14,50,10,2968,2968,3604,21%,1.5349e+00,1.9881e-01
swv15,50,10,2885,2885,3603,24%,1.9410e+00,2.5355e-01
yn01,20,20,854,884,1123,31%,5.3625e-01,1.2736e-01
yn02,20,20,870,904,1356,55%,5.5411e-01,1.8725e-01
yn03,20,20,859,892,1214,41%,5.1691e-01,1.4143e-02
yn04,20,20,929,968,1352,45%,8.0100e-01,4.8902e-01
tai01,15,15,1231,1231,1830,48%,3.4697e-01,7.4239e-02
tai02,15,15,1244,1244,1526,22%,3.6906e-01,9.7796e-02
tai03,15,15,1218,1218,1711,40%,2.4534e-01,7.3930e-03
tai04,15,15,1175,1175,1607,36%,2.5061e-01,8.1610e-03
tai05,15,15,1224,1224,1620,32%,2.5055e-01,4.0330e-03
tai06,15,15,1238,1238,1775,43%,2.5178e-01,1.1119e-02
tai07,15,15,1227,1227,1582,28%,2.7944e-01,4.2824e-02
tai08,15,15,1217,1217,1515,24%,3.6981e-01,6.1925e-02
tai09,15,15,1274,1274,1709,34%,4.4779e-01,7.5707e-02
tai10,15,15,1241,1241,1699,36%,4.7373e-01,4.9705e-02
tai11,20,15,1357,1357,2018,48%,6.9926e-01,9.3522e-02
tai12,20,15,1367,1367,1976,44%,7.6857e-01,1.2622e-01
tai13,20,15,1342,1342,2140,59%,7.5037e-01,1.1344e-01
tai14,20,15,1345,1345,2084,54%,6.6985e-01,6.4309e-02
tai15,20,15,1339,1339,1850,38%,5.2847e-01,1.5177e-01
tai16,20,15,1360,1360,1904,40%,4.9342e-01,5.2442e-02
tai17,20,15,1462,1462,2302,57%,5.8761e-01,1.2650e-01
tai18,20,15,1377,1396,1839,33%,6.5201e-01,4.6560e-02
tai19,20,15,1332,1332,1955,46%,5.5092e-01,1.4873e-01
tai20,20,15,1348,1348,2016,49%,4.3599e-01,5.6854e-02
tai21,20,20,1642,1642,2208,34%,1.4546e+00,3.7827e+00
tai22,20,20,1561,1600,2196,40%,6.3849e-01,1.8196e-01
tai23,20,20,1518,1557,2265,49%,5.8646e-01,7.5130e-02
tai24,20,20,1644,1644,2191,33%,6.8482e-01,1.0567e-01
tai25,20,20,1558,1595,2161,38%,6.1017e-01,1.5032e-01
tai26,20,20,1591,1645,2503,57%,5.8743e-01,6.2051e-02
tai27,20,20,1652,1680,2582,56%,8.8406e-01,7.0158e-02
tai28,20,20,1603,1603,2123,32%,8.9903e-01,1.0878e-01
tai29,20,20,1583,1625,2409,52%,9.3429e-01,2.4404e-01
tai30,20,20,1528,1584,2333,52%,7.5269e-01,1.8052e-01
tai31,30,15,1764,1764,2436,38%,1.0057e+00,1.6318e-01
tai32,30,15,1774,1784,2515,41%,1.1856e+00,1.2193e-01
tai33,30,15,1788,1791,2724,52%,1.0788e+00,2.1308e-01
tai34,30,15,1828,1829,2775,51%,9.6738e-01,1.7224e-01
tai35,30,15,2007,2007,2662,32%,8.4438e-01,4.5940e-02
tai36,30,15,1819,1819,2557,40%,1.4085e+00,1.6451e+00
tai37,30,15,1771,1771,2521,42%,8.9163e-01,9.2761e-02
tai38,30,15,1673,1673,2278,36%,1.1485e+00,2.4996e-01
tai39,30,15,1795,1795,2845,58%,1.2337e+00,2.1489e-01
tai40,30,15,1651,1671,2552,54%,1.0511e+00,1.5977e-01
tai41,30,20,1906,2006,2973,55%,1.3251e+00,1.4272e-01
tai42,30,20,1884,1941,3085,63%,1.6379e+00,2.3348e-01
tai43,30,20,1809,1846,3114,72%,1.4383e+00,2.8041e-01
tai44,30,20,1948,1982,3064,57%,1.5634e+00,2.6340e-01
