date,High,Close,Open,Low,neg,neu,pos,total,symbol
2013-05-31,75.63,74.84,75.41,74.82,0.0,2.0,0.0,2.0,WMT
2013-06-03,75.8,75.68,75.06,74.64,3.0,56.0,17.0,76.0,WMT
2013-06-04,76.38,75.92,75.77,75.47,48.0,50.0,10.0,108.0,WMT
2013-06-05,75.95,75.25,75.72,75.07,9.0,42.0,3.0,54.0,WMT
2013-06-06,75.74,75.58,75.27,74.83,7.0,55.0,8.0,70.0,WMT
2013-06-07,76.87,76.33,76.38,76.19,12.0,364.0,157.0,533.0,WMT
2013-06-10,76.65,75.74,76.3,75.66,6.0,46.0,15.0,67.0,WMT
2013-06-11,75.83,75.27,75.42,74.99,4.0,29.0,9.0,42.0,WMT
2013-06-12,75.71,74.84,75.41,74.63,4.0,48.0,5.0,57.0,WMT
2013-06-13,75.33,74.99,74.75,74.56,28.0,55.0,5.0,88.0,WMT
2013-06-14,75.27,74.87,74.83,74.8,28.0,62.0,4.0,94.0,WMT
2013-06-17,75.44,74.95,75.0,74.51,0.0,28.0,7.0,35.0,WMT
2013-06-18,75.88,75.73,74.97,74.8,1.0,22.0,9.0,32.0,WMT
2013-06-19,75.96,74.45,75.74,74.34,7.0,47.0,6.0,60.0,WMT
2013-06-20,74.66,73.02,74.5,73.01,4.0,47.0,23.0,74.0,WMT
2013-06-21,74.2,73.51,73.52,73.25,3.0,36.0,7.0,46.0,WMT
2013-06-24,74.79,74.2,73.05,72.9,1.0,35.0,28.0,64.0,WMT
2013-06-25,74.75,74.3,74.27,73.84,5.0,40.0,10.0,55.0,WMT
2013-06-26,75.18,75.0,74.62,74.54,5.0,185.0,17.0,207.0,WMT
2013-06-27,76.11,75.26,75.53,75.24,7.0,62.0,7.0,76.0,WMT
2013-06-28,75.66,74.48,75.11,74.45,4.0,43.0,4.0,51.0,WMT
2013-07-01,75.28,74.59,74.99,74.1,1.0,79.0,3.0,83.0,WMT
2013-07-02,75.68,74.7,74.31,74.21,2.0,30.0,12.0,44.0,WMT
2013-07-03,75.12,74.76,74.41,74.09,3.0,35.0,6.0,44.0,WMT
2013-07-04,,,,,6.0,39.0,4.0,49.0,WMT
2013-07-05,75.26,75.21,75.13,74.41,1.0,10.0,4.0,15.0,WMT
2013-07-08,76.77,76.7,75.68,75.68,7.0,37.0,16.0,60.0,WMT
2013-07-09,77.44,77.04,76.96,76.74,1.0,23.0,5.0,29.0,WMT
2013-07-10,77.5,76.78,76.96,76.45,5.0,78.0,9.0,92.0,WMT
2013-07-11,77.75,77.63,77.45,77.33,6.0,185.0,10.0,201.0,WMT
2013-07-12,77.67,77.59,77.61,77.33,6.0,114.0,100.0,220.0,WMT
2013-07-15,77.3,77.07,77.28,76.7,0.0,75.0,11.0,86.0,WMT
2013-07-16,77.45,77.37,76.98,76.9,4.0,35.0,7.0,46.0,WMT
2013-07-17,77.79,77.21,77.62,77.09,1.0,26.0,7.0,34.0,WMT
2013-07-18,77.55,77.32,77.22,77.01,1.0,28.0,3.0,32.0,WMT
2013-07-19,78.17,78.09,77.45,77.34,1.0,18.0,6.0,25.0,WMT
2013-07-22,78.25,77.88,77.85,77.73,0.0,15.0,4.0,19.0,WMT
2013-07-23,78.63,78.56,77.96,77.8,3.0,28.0,7.0,38.0,WMT
2013-07-24,78.72,78.22,78.72,77.72,4.0,25.0,8.0,37.0,WMT
2013-07-25,78.46,78.0,78.05,77.63,6.0,30.0,15.0,51.0,WMT
