IUCR,PRIMARY DESCRIPTION,SECONDARY DESCRIPTION,INDEX CODE
110,HOMICIDE,FIRST DEGREE MURDER,I
130,HOMICIDE,SECOND DEGREE MURDER,I
141,HOMICIDE,INVOLUNTARY MANSLAUGHTER,N
142,HOMICIDE,RECKLESS HOMICIDE,N
261,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,I
262,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER FIREARM,I
263,CRIM SEXUAL ASSAULT,AGGRAVATED: KNIFE/CUT INSTR,I
264,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER DANG WEAPON,I
265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,I
266,CRIM SEXUAL ASSAULT,PREDATORY,I
271,CRIM SEXUAL ASSAULT,ATTEMPT AGG: HANDGUN,I
272,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER FIREARM,I
273,CRIM SEXUAL ASSAULT,ATTEMPT AGG: KNIFE/CUT INSTR,I
274,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER DANG WEAPON,I
275,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER,I
281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,I
291,CRIM SEXUAL ASSAULT,ATTEMPT NON-AGGRAVATED,I
312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,I
313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,I
031A,ROBBERY,ARMED: HANDGUN,I
031B,ROBBERY,ARMED: OTHER FIREARM,I
320,ROBBERY,STRONGARM - NO WEAPON,I
325,ROBBERY,VEHICULAR HIJACKING,I
326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,I
330,ROBBERY,AGGRAVATED,I
331,ROBBERY,ATTEMPT: AGGRAVATED,I
334,ROBBERY,ATTEMPT: ARMED-KNIFE/CUT INSTR,I
337,ROBBERY,ATTEMPT: ARMED-OTHER DANG WEAP,I
033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,I
033B,ROBBERY,ATTEMPT: ARMED-OTHER FIREARM,I
340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,I
041A,BATTERY,AGGRAVATED: HANDGUN,I
041B,BATTERY,AGGRAVATED: OTHER FIREARM,I
420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,I
430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,I
440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,N
450,BATTERY,AGGRAVATED PO: HANDGUN,I
451,BATTERY,AGGRAVATED PO: OTHER FIREARM,I
452,BATTERY,AGGRAVATED PO: KNIFE/CUT INSTR,I
453,BATTERY,AGGRAVATED PO: OTHER DANG WEAP,I
454,BATTERY,AGG PO HANDS NO/MIN INJURY,N
460,BATTERY,SIMPLE,N
461,BATTERY,AGG PO HANDS ETC SERIOUS INJ,I
462,BATTERY,AGG PRO EMP HANDS SERIOUS INJ,I
470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,N
475,BATTERY,OF UNBORN CHILD,N
479,BATTERY,AGG: HANDS/FIST/FEET SERIOUS INJURY,I
480,BATTERY,AGG PRO.EMP: HANDGUN,I
481,BATTERY,AGG PRO.EMP: OTHER FIREARM,I
482,BATTERY,AGG PRO.EMP:KNIFE/CUTTING INST,I
483,BATTERY,AGG PRO.EMP: OTHER DANG WEAPON,I
484,BATTERY,PRO EMP HANDS NO/MIN INJURY,N
485,BATTERY,AGGRAVATED OF A CHILD,I
486,BATTERY,DOMESTIC BATTERY SIMPLE,N
487,BATTERY,AGGRAVATED OF A UNBORN CHILD,I
488,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDGUN,I
489,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER FIREARM,I
490,RITUALISM,AGG RITUAL MUT:HANDGUN,I
491,RITUALISM,AGG RITUAL MUT:OTHER FIREARM,I
492,RITUALISM,AGG RITUAL MUT:KNIFE/CUTTING I,I
493,RITUALISM,AGG RITUAL MUT:OTH DANG WEAPON,I
494,RITUALISM,AGG RIT MUT: HANDS/FIST/FEET NO/MINOR INJURY,N
495,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,I
496,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,I
497,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,I
498,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,I
510,RITUALISM,AGG RIT MUT: HANDS/FIST/FEET SERIOUS INJURY,I
051A,ASSAULT,AGGRAVATED: HANDGUN,I
051B,ASSAULT,AGGRAVATED: OTHER FIREARM,I
520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,I
530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,I
545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,N
550,ASSAULT,AGGRAVATED PO: HANDGUN,I
551,ASSAULT,AGGRAVATED PO: OTHER FIREARM,I
552,ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,I
