length,bubble sort - losowe,quick sort - losowe,merge sort - losowe,heap sort - losowe,shell sort - losowe,counting sort - losowe,c++ sort - losowe,bubble sort - stałe,quick sort - stałe,merge sort - stałe,heap sort - stałe,shell sort - stałe,counting sort - stałe,c++ sort - stałe,bubble sort - rosnące,quick sort - rosnące,merge sort - rosnące,heap sort - rosnące,shell sort - rosnące,counting sort - rosnące,c++ sort - rosnące,bubble sort - malejące,quick sort - malejące,merge sort - malejące,heap sort - malejące,shell sort - malejące,counting sort - malejące,c++ sort - malejące,bubble sort - a-kształtne,quick sort - a-kształtne,merge sort - a-kształtne,heap sort - a-kształtne,shell sort - a-kształtne,counting sort - a-kształtne,c++ sort - a-kształtne,bubble sort - v-kształtne,quick sort - v-kształtne,merge sort - v-kształtne,heap sort - v-kształtne,shell sort - v-kształtne,counting sort - v-kształtne,c++ sort - v-kształtne
1000,0.049504,0.001189,0.003038,0.002328,0.002090,0.000126,0.001604,0.037802,0.000703,0.002423,0.000282,0.000765,0.000126,0.001077,0.038617,0.000581,0.002616,0.002328,0.000758,0.000129,0.000972,0.048818,0.001335,0.002919,0.002083,0.001390,0.000126,0.000853,0.044805,0.012103,0.002603,0.002290,0.001216,0.000126,0.002480,0.043429,0.002073,0.002627,0.002107,0.001220,0.000129,0.002477
2000,0.198217,0.002956,0.005800,0.005161,0.004896,0.000248,0.004094,0.155971,0.001515,0.004526,0.000550,0.001679,0.000245,0.002453,0.152403,0.001213,0.005168,0.005107,0.001679,0.000245,0.002147,0.193963,0.001247,0.005420,0.004628,0.003082,0.000245,0.001825,0.180337,0.047109,0.005804,0.005046,0.002701,0.000245,0.005736,0.178411,0.005912,0.005277,0.004699,0.002688,0.000245,0.005644
3000,0.449075,0.003836,0.009035,0.008179,0.007652,0.000367,0.005297,0.340399,0.002491,0.007292,0.000836,0.002779,0.000367,0.004084,0.340919,0.002049,0.008362,0.008128,0.002779,0.000367,0.003643,0.435344,0.002083,0.008780,0.007346,0.004937,0.000364,0.003000,0.404362,0.105892,0.008430,0.007982,0.004360,0.000364,0.009606,0.388255,0.008016,0.008600,0.008158,0.004400,0.000367,0.008665
4000,0.786392,0.005195,0.011733,0.011291,0.010782,0.000486,0.007105,0.606925,0.003323,0.009171,0.001115,0.003700,0.000489,0.005392,0.614743,0.002589,0.010826,0.011189,0.003700,0.000483,0.004805,0.775104,0.002678,0.012695,0.010948,0.007547,0.000486,0.003979,0.727734,0.182342,0.010340,0.011057,0.005895,0.000486,0.013768,0.703653,0.016592,0.010493,0.010285,0.005933,0.000489,0.012678
5000,1.401536,0.006629,0.015263,0.014523,0.014839,0.000615,0.008906,0.956757,0.004601,0.011437,0.001393,0.005059,0.000612,0.007513,0.944905,0.003415,0.013483,0.014574,0.005059,0.000612,0.006612,1.208450,0.003527,0.014135,0.013136,0.008957,0.000618,0.005464,1.139741,0.283420,0.013456,0.014176,0.007744,0.000608,0.017095,1.076261,0.016908,0.013571,0.013378,0.007825,0.000608,0.015943
6000,1.759999,0.008175,0.018155,0.017720,0.017377,0.000734,0.010996,1.370829,0.005345,0.014169,0.001668,0.006075,0.000724,0.009004,1.365202,0.004377,0.016096,0.017707,0.006075,0.000727,0.007900,1.753964,0.004444,0.018512,0.016120,0.010805,0.000724,0.006381,1.645938,0.409486,0.016222,0.017391,0.009511,0.000795,0.022216,1.569930,0.036144,0.016293,0.016381,0.009528,0.000792,0.019565
7000,2.421674,0.009405,0.020404,0.021077,0.020870,0.000866,0.012786,1.875558,0.006371,0.018529,0.001927,0.007088,0.000860,0.010452,1.859442,0.005005,0.018797,0.021016,0.007088,0.000863,0.009195,2.382877,0.006025,0.021084,0.019596,0.012392,0.000880,0.007472,2.206817,0.553278,0.019490,0.020697,0.011210,0.000866,0.025192,2.113018,0.029820,0.019436,0.019334,0.011271,0.000866,0.024319
8000,3.131277,0.010700,0.023062,0.024513,0.024611,0.000972,0.014638,2.440172,0.007153,0.018322,0.002198,0.008094,0.000972,0.011893,2.434484,0.005532,0.022243,0.024319,0.008097,0.000972,0.010398,3.106978,0.005678,0.021944,0.022273,0.014740,0.000968,0.008451,2.887235,0.725658,0.021988,0.024570,0.013231,0.000968,0.031268,2.786426,0.038665,0.021335,0.022375,0.013269,0.000972,0.028590
9000,3.974257,0.012124,0.026354,0.028736,0.027992,0.001115,0.016877,3.068922,0.009035,0.020744,0.002477,0.009888,0.001104,0.014845,3.068476,0.006391,0.024655,0.027924,0.009888,0.001111,0.011237,3.922334,0.006507,0.025467,0.025943,0.017506,0.001108,0.010309,3.639893,0.917623,0.024499,0.028879,0.015216,0.001108,0.033714,3.500939,0.034071,0.024805,0.026110,0.015206,0.001118,0.031200
10000,4.922139,0.014492,0.029745,0.031376,0.033408,0.001220,0.018481,3.794471,0.010126,0.022793,0.002749,0.010989,0.001220,0.016395,3.797522,0.007275,0.027652,0.031295,0.010989,0.001223,0.014213,4.844986,0.007448,0.028148,0.028757,0.019409,0.001220,0.012018,4.485493,1.126961,0.027346,0.030795,0.016813,0.001223,0.038872,4.357610,0.088305,0.027037,0.029018,0.016867,0.001223,0.035705
