length,bubble sort - losowe,quick sort - losowe,c++ sort - losowe,heap sort - losowe,shell sort - losowe,counting sort - losowe,bubble sort - stałe,quick sort - stałe,c++ sort - stałe,heap sort - stałe,shell sort - stałe,counting sort - stałe,bubble sort - rosnące,quick sort - rosnące,c++ sort - rosnące,heap sort - rosnące,shell sort - rosnące,counting sort - rosnące,bubble sort - malejące,quick sort - malejące,c++ sort - malejące,heap sort - malejące,shell sort - malejące,counting sort - malejące,bubble sort - a-kształtne,quick sort - a-kształtne,c++ sort - a-kształtne,heap sort - a-kształtne,shell sort - a-kształtne,counting sort - a-kształtne,bubble sort - v-kształtne,quick sort - v-kształtne,c++ sort - v-kształtne,heap sort - v-kształtne,shell sort - v-kształtne,counting sort - v-kształtne
1000,0.019249,0.000760,0.000997,0.001385,0.001205,0.000060,0.011372,0.000350,0.000583,0.000122,0.000258,0.000053,0.011420,0.000219,0.000406,0.001278,0.000257,0.000053,0.018126,0.000226,0.000384,0.001218,0.000544,0.000053,0.015933,0.000937,0.001236,0.001267,0.000429,0.000053,0.015175,0.000958,0.001236,0.001217,0.000435,0.000056
2000,0.071938,0.001661,0.002190,0.003138,0.002800,0.000112,0.045267,0.000753,0.001312,0.000243,0.000568,0.000104,0.045296,0.000477,0.000885,0.002792,0.000568,0.000104,0.072910,0.000488,0.000812,0.002624,0.001197,0.000104,0.063826,0.002881,0.002941,0.002807,0.000936,0.000104,0.059192,0.002344,0.002894,0.002670,0.000980,0.000104
3000,0.162601,0.002817,0.003544,0.004981,0.004631,0.000163,0.101701,0.001152,0.002250,0.000363,0.000973,0.000160,0.101741,0.000757,0.001499,0.004405,0.000930,0.000156,0.164669,0.000779,0.001312,0.004175,0.001939,0.000157,0.143968,0.003979,0.004882,0.004378,0.001598,0.000157,0.133044,0.004014,0.004476,0.004247,0.001608,0.000157
4000,0.295416,0.003512,0.004728,0.006986,0.006297,0.000219,0.180730,0.001611,0.002924,0.000484,0.001238,0.000213,0.181068,0.001025,0.001909,0.006025,0.001238,0.000213,0.293532,0.001076,0.001738,0.005700,0.002620,0.000214,0.254797,0.005211,0.006705,0.006051,0.002056,0.000213,0.236880,0.005430,0.006557,0.005833,0.002051,0.000213
5000,0.471480,0.004447,0.006018,0.008873,0.008116,0.000288,0.282640,0.002003,0.004105,0.000607,0.001685,0.000290,0.282395,0.001355,0.002780,0.007664,0.001684,0.000265,0.458539,0.001359,0.002361,0.007305,0.003477,0.000269,0.398927,0.008723,0.008628,0.007750,0.002689,0.000267,0.370183,0.007798,0.008117,0.007531,0.002690,0.000265
6000,0.692732,0.005264,0.007282,0.010981,0.010070,0.000322,0.407015,0.002467,0.004916,0.000745,0.002040,0.000315,0.406841,0.001628,0.003199,0.009384,0.002021,0.000358,0.659738,0.001674,0.002775,0.008879,0.004165,0.000315,0.573365,0.016008,0.010906,0.009410,0.003408,0.000318,0.533112,0.009477,0.010038,0.009139,0.003414,0.000316
7000,0.958922,0.006303,0.008631,0.012973,0.012008,0.000376,0.555415,0.002930,0.005672,0.000850,0.002390,0.000368,0.553608,0.001920,0.003657,0.011089,0.002357,0.000369,0.897833,0.001970,0.003195,0.010581,0.004731,0.000368,0.781665,0.018970,0.012882,0.011276,0.003986,0.000379,0.724901,0.013013,0.012442,0.010782,0.004046,0.000369
8000,1.262679,0.007238,0.009964,0.015018,0.013942,0.000426,0.723728,0.003436,0.006455,0.001007,0.002692,0.000422,0.722845,0.002203,0.004109,0.012782,0.002693,0.000421,1.172630,0.002263,0.003627,0.012189,0.005687,0.000422,1.020898,0.012546,0.014940,0.012977,0.004361,0.000420,0.947617,0.014759,0.014575,0.012468,0.004417,0.000420
9000,1.623385,0.008024,0.011313,0.017129,0.015794,0.000483,0.915349,0.003896,0.008103,0.001095,0.003300,0.000471,0.915572,0.002518,0.004516,0.014584,0.003318,0.000472,1.489064,0.002649,0.004565,0.013878,0.006832,0.000474,1.290946,0.018186,0.016845,0.014727,0.005371,0.000494,1.198059,0.017349,0.015745,0.014214,0.005298,0.000475
10000,2.019839,0.008919,0.012471,0.019182,0.017109,0.000532,1.126196,0.004271,0.009004,0.001218,0.003660,0.000525,1.126298,0.002859,0.005827,0.016352,0.003663,0.000527,1.829486,0.002917,0.004973,0.015551,0.007405,0.000527,1.588412,0.017699,0.019130,0.016490,0.005798,0.000527,1.480428,0.022993,0.018072,0.016018,0.005792,0.000527
