length,c++ sort - losowe,bubble sort - losowe,quick sort - losowe,merge sort - losowe,heap sort - losowe,shell sort - losowe,counting sort - losowe,c++ sort - stałe,bubble sort - stałe,quick sort - stałe,merge sort - stałe,heap sort - stałe,shell sort - stałe,counting sort - stałe,c++ sort - rosnące,bubble sort - rosnące,quick sort - rosnące,merge sort - rosnące,heap sort - rosnące,shell sort - rosnące,counting sort - rosnące,c++ sort - malejące,bubble sort - malejące,quick sort - malejące,merge sort - malejące,heap sort - malejące,shell sort - malejące,counting sort - malejące,c++ sort - a-kształtne,bubble sort - a-kształtne,quick sort - a-kształtne,merge sort - a-kształtne,heap sort - a-kształtne,shell sort - a-kształtne,counting sort - a-kształtne,c++ sort - v-kształtne,bubble sort - v-kształtne,quick sort - v-kształtne,merge sort - v-kształtne,heap sort - v-kształtne,shell sort - v-kształtne,counting sort - v-kształtne
1000,0.001013,0.018520,0.000749,0.000941,0.001396,0.001184,0.000054,0.000584,0.011315,0.000346,0.000489,0.000121,0.000256,0.000053,0.000406,0.011318,0.000218,0.000588,0.001277,0.000256,0.000053,0.000384,0.018251,0.000224,0.000613,0.001168,0.000543,0.000053,0.001236,0.015956,0.001015,0.000668,0.001304,0.000525,0.000054,0.001312,0.014672,0.000954,0.000597,0.001187,0.000437,0.000053
2000,0.002213,0.071458,0.001667,0.002045,0.003135,0.002800,0.000104,0.001317,0.045103,0.000749,0.001026,0.000241,0.000566,0.000104,0.000884,0.045120,0.000475,0.001245,0.002781,0.000564,0.000104,0.000815,0.072618,0.000485,0.001300,0.002621,0.001201,0.000106,0.002936,0.063478,0.002872,0.001255,0.002803,0.000941,0.000104,0.002890,0.058711,0.002337,0.001256,0.002664,0.000956,0.000104
3000,0.003416,0.161943,0.002557,0.003211,0.004980,0.004771,0.000156,0.002227,0.101368,0.001148,0.001634,0.000361,0.000926,0.000156,0.001494,0.101389,0.000753,0.001969,0.004401,0.000926,0.000156,0.001315,0.164136,0.000772,0.002058,0.004146,0.001910,0.000156,0.004873,0.142449,0.003926,0.001991,0.004375,0.001592,0.000156,0.004430,0.132225,0.004019,0.001991,0.004234,0.001606,0.000156
4000,0.004671,0.294144,0.003542,0.004341,0.006895,0.006339,0.000208,0.002938,0.180091,0.001603,0.002146,0.000482,0.001235,0.000207,0.001912,0.180141,0.001019,0.002628,0.005970,0.001234,0.000208,0.001721,0.293008,0.001049,0.002731,0.005684,0.002622,0.000207,0.006709,0.254251,0.005144,0.002645,0.006037,0.002025,0.000208,0.006551,0.235586,0.005420,0.002650,0.005779,0.002061,0.000208
5000,0.006017,0.468979,0.004400,0.005518,0.008834,0.008083,0.000260,0.004119,0.281303,0.001993,0.002800,0.000603,0.001674,0.000261,0.002724,0.281371,0.001313,0.003407,0.007650,0.001677,0.000260,0.002365,0.458063,0.001350,0.003516,0.007257,0.003404,0.000261,0.008603,0.397729,0.008708,0.003415,0.007691,0.002679,0.000261,0.008119,0.368856,0.007765,0.003420,0.007444,0.002689,0.000260
6000,0.007218,0.689900,0.005360,0.006686,0.010854,0.009720,0.000314,0.004909,0.405032,0.002453,0.003425,0.000720,0.002011,0.000314,0.003187,0.405072,0.001620,0.004154,0.009366,0.002011,0.000314,0.002770,0.658782,0.001665,0.004324,0.008843,0.004105,0.000314,0.010839,0.571416,0.015962,0.004189,0.009393,0.003371,0.000312,0.010016,0.530452,0.009367,0.004182,0.009123,0.003385,0.000312
7000,0.008534,0.954940,0.006382,0.007846,0.012979,0.011793,0.000363,0.005704,0.551213,0.002916,0.003963,0.000879,0.002345,0.000366,0.003655,0.551368,0.001908,0.004860,0.011095,0.002345,0.000365,0.003186,0.897259,0.001958,0.005012,0.010561,0.004719,0.000365,0.012822,0.778183,0.018898,0.004871,0.011269,0.003970,0.000363,0.012410,0.722823,0.012929,0.004878,0.010827,0.003988,0.000365
8000,0.009776,1.264940,0.007128,0.009146,0.015062,0.013783,0.000415,0.006520,0.721340,0.003419,0.004501,0.000962,0.002719,0.000415,0.004121,0.721437,0.002189,0.005575,0.012809,0.002719,0.000418,0.003646,1.175322,0.002281,0.005735,0.012243,0.005659,0.000414,0.014934,1.019252,0.012481,0.005565,0.013034,0.004362,0.000415,0.014566,0.947129,0.014684,0.005569,0.012528,0.004422,0.000418
9000,0.011139,1.618794,0.008008,0.010396,0.017151,0.016521,0.000471,0.008172,0.912995,0.003896,0.005191,0.001083,0.003281,0.000470,0.004471,0.913145,0.002502,0.006374,0.014639,0.003285,0.000467,0.004529,1.499799,0.002605,0.006648,0.014027,0.006773,0.000470,0.016890,1.312848,0.018343,0.006437,0.015011,0.005439,0.000475,0.016099,1.220076,0.017416,0.006386,0.014386,0.005319,0.000470
10000,0.012618,2.046165,0.008969,0.011400,0.019289,0.018167,0.000554,0.009002,1.129522,0.004282,0.005847,0.001240,0.003650,0.000520,0.005813,1.134031,0.002825,0.007197,0.016455,0.003651,0.000520,0.004985,1.859319,0.002936,0.007488,0.015683,0.007515,0.000525,0.019405,1.607313,0.017748,0.007183,0.016553,0.005817,0.000522,0.018187,1.491569,0.023065,0.007253,0.016105,0.005809,0.000521
11000,0.013854,2.484061,0.009807,0.012753,0.021460,0.020084,0.000578,0.009926,1.369852,0.004798,0.006561,0.001370,0.004057,0.000572,0.006424,1.368293,0.003189,0.008034,0.018244,0.004030,0.000571,0.005459,2.252480,0.003264,0.008363,0.017441,0.008166,0.000572,0.021459,1.952658,0.017618,0.008057,0.018334,0.006832,0.000574,0.020213,1.810527,0.025010,0.008104,0.017825,0.006771,0.000572
12000,0.015072,2.969051,0.011047,0.013881,0.023570,0.021845,0.000622,0.010767,1.624649,0.005266,0.007159,0.001446,0.004459,0.000625,0.006831,1.624383,0.003467,0.008773,0.020095,0.004426,0.000625,0.005837,2.661636,0.003555,0.009112,0.019038,0.008978,0.000625,0.023777,2.299147,0.020699,0.008845,0.020199,0.007175,0.000622,0.022341,2.144170,0.027162,0.008804,0.019662,0.007226,0.000624
13000,0.016399,3.513130,0.011678,0.015132,0.025846,0.023469,0.000677,0.011695,1.905812,0.005759,0.007730,0.001562,0.004819,0.000676,0.007324,1.906784,0.003774,0.009469,0.021917,0.004783,0.000677,0.006283,3.124291,0.003871,0.009811,0.020813,0.010173,0.000677,0.025874,2.698371,0.034837,0.009536,0.022134,0.007837,0.000676,0.024904,2.515274,0.031255,0.009497,0.021436,0.007857,0.000677
14000,0.017683,4.089655,0.012786,0.016205,0.027912,0.026361,0.000730,0.012493,2.210468,0.006238,0.008292,0.001682,0.005143,0.000763,0.007797,2.210414,0.004077,0.010243,0.023653,0.005140,0.000729,0.006738,3.620271,0.004183,0.010555,0.022512,0.010312,0.000728,0.028041,3.131454,0.046843,0.010283,0.023887,0.008570,0.000729,0.027445,2.913640,0.030439,0.010292,0.023049,0.008591,0.000729
15000,0.018882,4.717897,0.013776,0.017578,0.030165,0.027804,0.000778,0.013358,2.538153,0.006793,0.008886,0.001840,0.005501,0.000780,0.008309,2.537653,0.004394,0.011020,0.025413,0.005502,0.000777,0.007188,4.156262,0.004545,0.011282,0.024320,0.011182,0.000780,0.029961,3.597919,0.057271,0.010984,0.025766,0.009165,0.000777,0.029418,3.344236,0.050515,0.011016,0.024861,0.009189,0.000780
