length,bubble sort - losowe,quick sort - losowe,merge sort - losowe,heap sort - losowe,shell sort - losowe,counting sort - losowe,c++ sort - losowe,bubble sort - stałe,quick sort - stałe,merge sort - stałe,heap sort - stałe,shell sort - stałe,counting sort - stałe,c++ sort - stałe,bubble sort - rosnące,quick sort - rosnące,merge sort - rosnące,heap sort - rosnące,shell sort - rosnące,counting sort - rosnące,c++ sort - rosnące,bubble sort - malejące,quick sort - malejące,merge sort - malejące,heap sort - malejące,shell sort - malejące,counting sort - malejące,c++ sort - malejące,bubble sort - a-kształtne,quick sort - a-kształtne,merge sort - a-kształtne,heap sort - a-kształtne,shell sort - a-kształtne,counting sort - a-kształtne,c++ sort - a-kształtne,bubble sort - v-kształtne,quick sort - v-kształtne,merge sort - v-kształtne,heap sort - v-kształtne,shell sort - v-kształtne,counting sort - v-kształtne,c++ sort - v-kształtne
1000,0.017744,0.000715,0.000932,0.001366,0.001226,0.000052,0.001009,0.011305,0.000279,0.000490,0.000121,0.000256,0.000051,0.000584,0.011303,0.000195,0.000589,0.001273,0.000256,0.000051,0.000407,0.017938,0.000202,0.000612,0.001167,0.000533,0.000051,0.000382,0.015757,0.005084,0.000590,0.001256,0.000426,0.000051,0.001231,0.014613,0.000892,0.000593,0.001181,0.000428,0.000051,0.001229
2000,0.069479,0.001591,0.002029,0.003133,0.002826,0.000102,0.002192,0.045097,0.000608,0.001025,0.000240,0.000563,0.000100,0.001317,0.045102,0.000427,0.001244,0.002781,0.000566,0.000100,0.000880,0.071349,0.000442,0.001288,0.002616,0.001173,0.000100,0.000809,0.062642,0.019783,0.001248,0.002795,0.000918,0.000100,0.002943,0.058257,0.002798,0.001251,0.002650,0.000926,0.000100,0.002896
3000,0.159230,0.002461,0.003204,0.004984,0.004832,0.000149,0.003449,0.101357,0.001004,0.001623,0.000360,0.000926,0.000149,0.002225,0.101372,0.000726,0.001974,0.004381,0.000926,0.000149,0.001482,0.160232,0.000748,0.002058,0.004144,0.001879,0.000149,0.001309,0.140603,0.044060,0.001995,0.004370,0.001537,0.000149,0.004874,0.130897,0.003850,0.001991,0.004238,0.001546,0.000149,0.004428
4000,0.289116,0.003270,0.004339,0.006909,0.006494,0.000199,0.004750,0.180129,0.001326,0.002154,0.000480,0.001236,0.000199,0.002932,0.180136,0.000927,0.002629,0.005970,0.001236,0.000199,0.001902,0.284578,0.000956,0.002726,0.005684,0.002565,0.000201,0.001713,0.249759,0.077923,0.002647,0.006027,0.001989,0.000199,0.006693,0.232484,0.005331,0.002650,0.005798,0.002003,0.000199,0.006540
5000,0.460784,0.004129,0.005497,0.008897,0.008033,0.000251,0.006133,0.281312,0.001827,0.002785,0.000599,0.001676,0.000248,0.004112,0.281362,0.001253,0.003432,0.007634,0.001677,0.000248,0.002709,0.444523,0.001291,0.003497,0.007251,0.003364,0.000248,0.002350,0.390188,0.121417,0.003403,0.007669,0.002625,0.000251,0.008592,0.363026,0.009616,0.003426,0.007437,0.002643,0.000251,0.008116
6000,0.677487,0.004953,0.006676,0.010872,0.010021,0.000302,0.007316,0.405035,0.002165,0.003411,0.000719,0.002011,0.000301,0.004904,0.405082,0.001567,0.004146,0.009333,0.002011,0.000298,0.003173,0.641293,0.001611,0.004306,0.008848,0.004071,0.000298,0.002756,0.561449,0.174467,0.004183,0.009395,0.003253,0.000300,0.010820,0.522599,0.015334,0.004180,0.009127,0.003276,0.000300,0.009988
7000,0.937339,0.005768,0.007825,0.012901,0.012540,0.000350,0.008671,0.551241,0.002535,0.004060,0.000842,0.002405,0.000347,0.005760,0.553804,0.001796,0.004911,0.011013,0.002380,0.000350,0.003629,0.873305,0.001859,0.005021,0.010502,0.004730,0.000347,0.003175,0.766912,0.238009,0.004852,0.011275,0.003892,0.000348,0.012828,0.713916,0.018450,0.004851,0.010799,0.003877,0.000347,0.012432
8000,1.242713,0.006712,0.009008,0.014989,0.013998,0.000400,0.010060,0.722199,0.002859,0.004523,0.000962,0.002681,0.000400,0.006520,0.722226,0.002003,0.005533,0.012738,0.002681,0.000397,0.004128,1.139104,0.002062,0.005708,0.012162,0.005590,0.000397,0.003615,0.997858,0.309399,0.005540,0.012887,0.004277,0.000397,0.014853,0.928593,0.013143,0.005549,0.012425,0.004320,0.000397,0.014521
9000,1.594421,0.007557,0.010231,0.017117,0.015469,0.000448,0.011133,0.911222,0.003597,0.005156,0.001089,0.003286,0.000447,0.008126,0.911277,0.002327,0.006307,0.014465,0.003280,0.000450,0.004424,1.439385,0.002392,0.006507,0.013843,0.006694,0.000450,0.004498,1.265165,0.391381,0.006313,0.014670,0.005160,0.000447,0.016739,1.175850,0.017608,0.006317,0.014196,0.005183,0.000447,0.015757
10000,1.990342,0.008310,0.011289,0.019456,0.017487,0.000502,0.012543,1.125469,0.003914,0.005806,0.001208,0.003655,0.000498,0.008982,1.125509,0.002668,0.007228,0.016426,0.003655,0.000500,0.005788,1.779230,0.002779,0.007329,0.015726,0.007285,0.000501,0.004944,1.564380,0.482825,0.007179,0.016672,0.005670,0.000499,0.019168,1.458663,0.019653,0.007179,0.016264,0.005734,0.000503,0.018251
