v,phi,ec,hc-1,hc-2,hc-3,hc-4,hc-5,hc-6,hc-7,hc-8,hc-9,hc-10,hc-11,hc-12,hc-13,hc-14,hc-15,hc-16,hc-17,hc-18,hc-19,hc-20,hc-21,hc-22,hc-23,hc-24,hc-25
200,10,0.00836954,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
200,20,0.016624,300,300,8.73618,300,0.457539,151.617,0.0105869,3.57526,0.006674,300,153.719,300,137.649,1.45828,300,6.17019,3.71517,18.1675,300,300,1.49472,0.165501,2.31547,0.201515,300
200,30,0.0248438,0.00384294,1.2322,33.9516,1.35258,300,0.0242619,0.36078,125.301,300,0.0383041,50.0251,0.0166389,0.0739074,0.558448,300,0.6181,0.160667,0.00908311,0.00907683,300,300,6.28403,0.0161956,0.00582525,17.5332
200,40,0.0330685,0.0223627,0.135559,300,0.0461031,1.24176,0.0108969,0.0049217,0.577314,0.00803329,0.352884,0.00495253,0.0100265,0.00556087,0.00525369,0.0176442,0.509247,0.0118425,0.503866,0.0420489,0.0122386,0.00894766,0.0477855,0.00531229,0.101104,0.00612669
200,60,0.0495999,0.0346318,0.0691479,0.0105795,0.00687201,0.0563422,0.0068542,0.00712553,0.00767728,0.00685394,0.00686405,0.00803678,0.00866108,0.00785743,0.00766107,0.00756682,0.00807725,0.0111756,0.134737,0.00686279,0.0071474,0.00826579,0.00724801,0.00715009,0.007188,0.00689204
200,80,0.0661122,0.00892149,0.00892764,0.00892718,0.00917602,0.00889434,0.00889805,0.00890903,0.00891766,0.00892453,0.0161741,0.00889702,0.00962075,0.00892027,0.00888345,0.00894869,0.0215544,0.00890231,0.00925306,0.00890894,0.0088947,0.00891297,0.00886994,0.0101569,0.00891887,0.00893791
200,95,0.0784861,0.0104342,0.0104817,0.0104547,0.0104474,0.0104615,0.0104573,0.0104701,0.0104467,0.0104671,0.0104678,0.0104686,0.0104724,0.0107632,0.0104476,0.0104609,0.0104589,0.0104756,0.0104847,0.01048,0.0104501,0.0107536,0.0104873,0.0104579,0.0104945,0.0104447
400,10,0.0645625,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
400,20,0.129204,300,300,4.82377,300,300,300,300,2.63686,300,300,300,300,300,300,300,300,0.821988,300,300,3.95745,300,2.46213,8.40569,300,14.1818
400,30,0.194793,5.89422,300,5.22352,0.22089,17.1905,0.100391,5.75226,100.921,35.7394,1.04718,0.227695,0.0290136,1.32644,0.130374,0.0415901,0.0672148,2.82807,300,1.94829,0.0253998,300,7.55582,0.162078,0.386407,0.176973
