n,b,y,beta,nu,brute,greedy,dynamic
2,530,14751,1,1,4.219e-06,1.473e-06,3.7378e-05
3,1617,24440,1,1,5.038e-06,9.14e-07,0.000142019
4,2277,20324,1,1,9.851e-06,1.274e-06,0.000275004
5,2682,19229,1,1,1.9823e-05,1.527e-06,0.000412789
6,3140,32052,1,1,3.8106e-05,1.447e-06,0.000512972
7,3686,51343,1,1,7.5718e-05,1.553e-06,0.000686509
8,3785,38268,1,1,0.000150685,2.026e-06,0.000867684
9,4152,46235,1,1,0.000299545,2.03e-06,0.00102353
10,4991,51252,1,1,0.000602078,2.404e-06,0.00142259
11,6975,45006,1,1,0.00120447,2.84e-06,0.00255639
12,5845,65119,1,1,0.00239763,3.471e-06,0.00199366
13,4914,57709,1,1,0.00480377,2.78e-06,0.00184817
14,7459,67239,1,1,0.0102034,4.531e-06,0.00317008
15,9838,74179,1,1,0.0193747,3.713e-06,0.00465161
16,9677,81414,1,1,0.0385873,4.491e-06,0.00476333
17,9815,88365,1,1,0.0777509,5.641e-06,0.00514268
18,10082,96018,1,1,0.155312,5.692e-06,0.00562344
19,9157,110323,1,1,0.31015,5.638e-06,0.00517273
20,9914,114421,1,1,0.619747,5.362e-06,0.00599086
21,8671,109423,1,1,1.24195,6.374e-06,0.00546489
22,11231,103987,1,1,2.48825,6.31e-06,0.00794425
23,10889,96042,1,1,4.97312,6.551e-06,0.0081414
24,10821,117868,1,1,9.8741,6.472e-06,0.008205
25,12887,145050,1,1,19.8556,7.083e-06,0.0102109
26,12329,150382,1,1,39.4634,8.291e-06,0.0101377
27,13622,140069,1,1,79.2666,7.217e-06,0.0118021
28,14383,136634,1,1,157.469,8.146e-06,0.0130698
100,652380,514790,1,1,0,2.511e-05,2.3626
150,365788,847302,1,1,0,3.5789e-05,1.97324
200,202834,1053296,1,1,0,4.9645e-05,1.44918
250,256797,1257306,1,1,0,7.0001e-05,2.29754
300,514874,1449602,1,1,0,7.4749e-05,5.55606
350,598878,1788625,1,1,0,9.3164e-05,7.52276
400,816251,2000561,1,1,0,0.000110934,11.6989
450,209541,2230597,1,1,0,0.000115318,3.36164
500,910984,2504261,1,1,0,0.000129152,16.299
550,406662,2759879,1,1,0,0.00014073,8.01278
600,950227,3007426,1,1,0,0.00015958,20.3955
650,112809,3128515,1,1,0,0.000172374,2.59016
700,412573,3616618,1,1,0,0.000186888,10.3459
750,865186,3747157,1,1,0,0.000201533,23.1965
800,363345,4144112,1,1,0,0.000222115,10.4029
850,10827,4270006,1,1,0,0.000225349,0.283313
900,584761,4521792,1,1,0,0.000244252,18.815
950,540725,4788709,1,1,0,0.000257927,18.3932
1000,504930,5166104,1,1,0,0.000277518,18.0862
1050,975056,5363014,1,1,0,0.000295224,36.6007
1100,423815,5630318,1,1,0,0.000306065,16.6904
1150,88306,5794985,1,1,0,0.000314638,3.56651
1200,247666,5908208,1,1,0,0.0003337,10.5745
1250,67311,6230530,1,1,0,0.00035246,2.94111
1300,164587,6528886,1,1,0,0.000369478,7.58051
1350,497843,6893567,1,1,0,0.000388812,24.0616
1400,103390,7124625,1,1,0,0.000393118,5.10961
1450,777204,7276804,1,1,0,0.000425603,40.2523
1500,276345,7555859,1,1,0,0.000431007,14.7837
1550,50035,7875930,1,1,0,0.000435105,2.68556
1600,8527,8257195,1,1,0,0.000445074,0.400956
1650,157415,8615881,1,1,0,0.000469937,9.20925
1700,634658,8514794,1,1,0,0.000492547,38.5742
1750,808500,8950341,1,1,0,0.000519685,50.5915
1800,427152,9084915,1,1,0,0.000520631,27.5017
1850,166258,9477485,1,1,0,0.000540289,10.92
1900,573637,9438361,1,1,0,0.000572091,38.9488
1950,65588,10034628,1,1,0,0.000567327,4.46516
2000,87551,10216225,1,1,0,0.000585284,6.16915
