n,b,y,beta,nu,brute,dynamic
2,1020,12239,1,1,4.142e-06,7.7556e-05
3,2220,13648,1,1,5.45e-06,0.000214554
4,1254,21705,1,1,9.431e-06,0.000143821
5,2438,33163,1,1,1.8611e-05,0.000334007
6,3541,35695,1,1,3.7992e-05,0.000599066
7,2871,32271,1,1,7.4899e-05,0.000552754
8,6104,47231,1,1,0.000148965,0.00147456
9,6109,39063,1,1,0.000298985,0.00167907
10,5326,50162,1,1,0.000600921,0.00152547
11,6719,48817,1,1,0.00120113,0.00222965
12,7722,50989,1,1,0.00237815,0.00285916
13,6055,62123,1,1,0.00479932,0.00235984
14,8129,75073,1,1,0.00963679,0.00335164
15,7018,78757,1,1,0.0190878,0.00307417
16,8302,87130,1,1,0.0383183,0.00391877
17,8410,96393,1,1,0.0764198,0.00413478
18,8182,75240,1,1,0.154933,0.00459558
19,9020,112154,1,1,0.306852,0.00502316
20,10039,91585,1,1,0.612852,0.00633575
21,10090,103241,1,1,1.22122,0.00658038
22,11282,78072,1,1,2.46054,0.00814345
23,10194,120072,1,1,4.91939,0.00722054
24,11439,106100,1,1,9.80024,0.0088424
25,14556,151345,1,1,19.5378,0.0115236
26,12860,148510,1,1,39.1905,0.0104758
27,13259,138969,1,1,78.4045,0.0115609
28,15541,145955,1,1,157.318,0.0141905
