"X1","X2","X3","X4","X5","X6","X7","X8"
295.799988,0,0,185.699997,0,1091.400024,769.299988,7
252.300003,0,98.800003,146.300003,14.2,987.799988,889,3
172.399994,13.6,172.399994,156.800003,4.1,1006.299988,856.400024,28
162,214,164,202,10,820,680,28
446,24,79,162,11.6,967,712,56
540,0,0,173,0,1125,613,14
154.800003,0,142.800003,193.300003,9.1,1047.400024,696.700012,28
167.399994,129.899994,128.600006,175.5,7.8,1006.299988,746.599976,56
251.399994,0,118.300003,192.899994,5.8,1043.599976,754.299988,100
382,0,0,186,0,1047,739,7
153,102,0,192,0,888,943.099976,28
400,0,0,187,0,1025,745,7
397,0,0,186,0,1040,734,28
275.100006,0,121.400002,159.5,9.9,1053.599976,777.5,56
154,144,112,220,10,923,658,28
116,173,0,192,0,909.799988,891.900024,90
387,20,94,157,13.9,938,845,56
387,20,94,157,14.3,938,845,7
288,121,0,177,7,908,829,28
350,0,0,186,0,1050,770,7
158.800003,238.199997,0,185.699997,0,1040.599976,734.299988,28
439,177,0,186,11.1,884.900024,707.900024,3
149,118,92,183,7,953,780,28
173.5,50.099998,173.5,164.800003,6.5,1006.200012,793.5,3
313.299988,145,0,178.5,8,1001.900024,688.700012,28
173.800003,93.400002,159.899994,172.300003,9.7,1007.200012,746.599976,28
165,128.5,132.100006,175.100006,8.1,1005.799988,746.599976,14
237.5,237.5,0,228,0,932,594,7
491,26,123,210,3.9,882,699,28
167,75.400002,167,164,7.9,1007.299988,770.099976,100
276.399994,116,90.300003,179.600006,8.9,870.099976,768.299988,28
330.5,169.600006,0,194.899994,8.1,811,802.299988,28
288,192,0,192,0,932,717.799988,90
229.699997,0,118.199997,195.199997,6.1,1028.099976,757.599976,28
350,0,0,203,0,974,775,180
333,0,0,192,0,931.200012,842.599976,28
310,143,0,168,10,914,804,28
135,0,166,180,10,961,805,28
255,0,0,192,0,889.799988,945,3
376,0,0,214.600006,0,1003.5,762.400024,3
102,153,0,192,0,887,942,28
165,128.5,132.100006,175.100006,8.1,1005.799988,746.599976,28
389.899994,189,0,145.899994,22,944.700012,755.799988,91
172.399994,13.6,172.399994,156.800003,4.1,1006.299988,856.400024,14
277.200012,97.800003,24.5,160.699997,11.2,1061.699951,782.5,3
380,95,0,228,0,932,594,7
266,112,87,178,10,910,745,28
401.799988,94.699997,0,147.399994,11.4,946.799988,852.099976,3
135.699997,203.5,0,185.699997,0,1076.199951,759.299988,7
279.799988,128.899994,100.400002,172.399994,9.5,825.099976,804.900024,28
281,0,0,185,0,1104,774,28
374,189.199997,0,170.100006,10.1,926.099976,756.700012,28
