"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
219,0.5068493,0.0319635,0.1461187,0.1018519,0.8767123,0,0.746988,0.0120482,0.060241,0.2314815,0.0240964,0.9879518,0.3518519,0,0.8
2273,0.4953806,0.0189177,0.0673119,0.0453357,0.7945447,0.016718,0.6410526,0.0021053,0.0768421,0.0649606,0.0178947,0.9978947,0.1702756,0.0542169,0.2580645
564,0.4574468,0.0585106,0.2996454,0.2385621,0.7641844,0.0106383,0.5672727,0.0036364,0.0145455,0.140625,0.0545455,0.9963636,0.38125,0.0561798,1
620,0.4951613,0.0032258,0.1048387,0.086262,0.9096774,0,0.7927928,0.009009,0.027027,0.0512821,0.0045045,0.9954955,0.1837607,0.1627907,0
3809,0.4917301,0.2053032,0.1071147,0.0857438,0.8994487,0,0.7665663,0.0082831,0.0399096,0.0170244,0.2003012,0.9856928,0.1983716,0.1065574,0.6666667
133,0.4661654,0,0.2481203,0.2394366,0.8120301,0,0.6440678,0.0169492,0.0169492,0.2716049,0,1,0.1975309,0,1
267,0.4606742,0,0.1348315,0.1319444,0.9138577,0,0.7765957,0,0.0212766,0.1531532,0,0.9893617,0.2972973,0.24,0
248,0.4919355,0.1612903,0.1975806,0.1269841,0.9112903,0,0.787234,0,0.0212766,0.1047619,0.1276596,1,0.1619048,0.1153846,1
6614,0.4987904,0.004687,0.0721197,0.0582202,0.9374055,0,0.8477938,0.0019831,0.0391671,0.0146556,0.0044621,0.9945464,0.1001466,0.1345029,0.4
22995,0.4928898,0.0010002,0.0393564,0.0345596,0.9782127,0,0.9261309,0.0034358,0.0127887,0.0385392,0.0013361,0.0706242,0.4670582,0.3648393,0.7826087
1539,0.4437947,0.0045484,0.1975309,0.1565421,0.791423,0.0519818,0.6504854,0.0097087,0.02589,0.0978102,0.0113269,0.9983819,0.3445255,0.1011236,0.4444444
176,0.4886364,0.9943182,0.1647727,0.1333333,0.8295455,0,0.625,0.0138889,0.0277778,0.1627907,1,1,0.3372093,0.1578947,1
340,0.5264706,0,0.1147059,0.0931677,0.9235294,0,0.7931034,0,0.0172414,0.0569106,0,0.8965517,0.3333333,0.2903226,0.5
950,0.4905263,0.0010526,0.2126316,0.1466942,0.86,0,0.6823821,0,0.0124069,0.0562061,0,0.9925558,0.2529274,0.0217391,1
4811,0.4872168,0.001455,0.1781334,0.1483583,0.848888,0.0195386,0.7106383,0.0074468,0.031383,0.0557509,0.0010638,0.9925532,0.3124058,0.0940499,0.6315789
6243,0.4813391,0.0115329,0.1135672,0.0926498,0.8734583,0,0.7356924,0.003495,0.0602883,0.0280255,0.0126693,0.9654871,0.2267516,0.0668486,0.1818182
412,0.5533981,0,0.1067961,0.0923913,0.9199029,0,0.761194,0,0.0074627,0.0218978,0,1,0.1532847,0.0833333,0
533,0.4971857,0,0.1538462,0.1529851,0.8761726,0,0.7330097,0.0097087,0.0339806,0.1452282,0,0.9951456,0.4605809,0.1851852,0.5
24164,0.4891988,0.0052144,0.1025079,0.0709714,0.9373862,0.0024003,0.8379499,0.0050363,0.0342172,0.0254078,0.0056288,0.3675011,0.3607622,0.3333333,0.2888889
98,0.5102041,0,0.2653061,0.0416667,0.8877551,0,0.7179487,0,0,0.2641509,0,1,0.3018868,0.1428571,0
2739,0.4574662,0.0186199,0.2774735,0.2207268,0.7159547,0.0434465,0.5625,0.0023734,0.0712025,0.0358505,0.0205696,0.9968354,0.3180778,0.0095087,0.5
1547,0.5080802,0.021978,0.0387847,0.0249671,0.9631545,0,0.9089069,0.0020243,0.01417,0.0426357,0.0182186,0.9838057,0.0387597,0.2727273,0.625
1478,0.4830853,0.0879567,0.1197564,0.1465969,0.8538566,0,0.6816609,0.0051903,0.0432526,0.0692432,0.0657439,0.9913495,0.5152979,0.0984848,0.3333333
25399,0.4691917,0.0065751,0.1622899,0.1122979,0.6323871,0.1318556,0.5667452,0.0041783,0.1106707,0.035943,0.0034283,0.996036,0.3817393,0.0629782,0.3414634
1255,0.5099602,0.012749,0.0557769,0.0504065,0.9195219,0,0.8009828,0.002457,0.041769,0.397929,0.007371,0.8845209,0.3565089,0.1848739,0.8
1142,0.4465849,0,0.3134851,0.221519,0.8029772,0.0201401,0.6214149,0,0.0076482,0.062724,0,1,0.2043011,0.0842105,0.7857143
79,0.4683544,0,0.1139241,0.0952381,0.8734177,0,0.7241379,0,0.0689655,0.0333333,0,1,0.2333333,0.25,0
1079,0.4698795,0.0936052,0.141798,0.1118881,0.8693234,0,0.6978923,0.0046838,0.0187354,0.1048218,0.1030445,0.9953162,0.4716981,0.1011236,1
438,0.4589041,0,0.3242009,0.2025316,0.8493151,0,0.6896552,0.0049261,0.0098522,0.0896861,0,0.9950739,0.1838565,0.0232558,0
1696,0.4428066,0,0.3060142,0.2232804,0.7682783,0.0595519,0.6211096,0,0.014885,0.0865266,0,0.9972936,0.2262052,0.0751445,0.5714286
603,0.5074627,0,0.1791045,0.1380471,0.8739635,0,0.696,0,0,0.2088608,0,1,0.2943038,0.037037,0.9375
839,0.4827175,0.0023838,0.1454112,0.1105991,0.9070322,0,0.771875,0,0.0125,0.0724638,0.003125,0.971875,0.2289855,0.0847458,0.5
7172,0.8077245,0.2322922,0.0004183,0.0007252,0.1583938,0.8403514,0.9724771,0,0,0.018018,0.2171254,0.9296636,0.3243243,0.1802575,0
72,0.5833333,0,0.2083333,0.2,0.8611111,0,0.6774194,0,0,0.1842105,0,1,0.2894737,0,0
3344,0.6414474,0.145634,0.0669856,0.0617181,0.6552033,0.2948565,0.8231552,0.0038168,0.0254453,0.0175,0,0.9961832,0.13375,0.1347518,0
19997,0.4927739,0.1739761,0.0762614,0.0681258,0.8451268,0.0036005,0.7015437,0.0026389,0.0779786,0.0523881,0.1696794,0.9408893,0.3094524,0.0951807,0.3214286
1291,0.4632068,0,0.1680868,0.1370851,0.8396592,0,0.6549815,0.001845,0.0313653,0.0622837,0,0.9723247,0.366782,0.0640394,0.5
1099,0.44495,0.0618744,0.2584167,0.2262295,0.766151,0.0737034,0.6320542,0.006772,0.0180587,0.1210317,0.0474041,0.993228,0.3234127,0.0901639,0.9
614,0.47557,0,0.1319218,0.121118,0.8859935,0,0.7254098,0,0.0122951,0.0278884,0,1,0.2270916,0.0344828,0.5
36830,0.4785501,0.4236764,0.1915015,0.1271544,0.80429,0.0233777,0.6522475,0.0052925,0.0694376,0.1784928,0.3430245,0.958154,0.5649855,0.1589977,0.3256705
2399,0.456857,0.0516882,0.1929971,0.1696086,0.7699041,0.0917049,0.6976242,0.0053996,0.0431965,0.0730731,0.049676,0.9967603,0.2852853,0.0445344,0.2857143
576,0.515625,0.0052083,0.1180556,0.0967742,0.9236111,0,0.7962963,0,0,0.0567686,0.0046296,1,0.2882096,0.1111111,0
817,0.4589963,0,0.2166463,0.1742081,0.8102815,0,0.6128134,0.0111421,0.0306407,0.0911392,0,1,0.4075949,0.056,0.8
42,0.3809524,0,0.0952381,0.0384615,0.8333333,0,0.6470588,0,0.0588235,0.5277778,0,1,0.6388889,0,0
779,0.4762516,0,0.2490372,0.1813725,0.8151476,0.0474968,0.6566667,0.0033333,0.01,0.0740741,0,1,0.25,0.140625,1
279,0.5089606,0,0.1111111,0.0729927,0.9103943,0,0.7777778,0,0.0333333,0.0425532,0,0.8555556,0.393617,0.24,0
1119,0.5022341,0.0053619,0.1224307,0.0736086,0.849866,0,0.7122302,0.0143885,0.0743405,0.444,0,0.9976019,0.3666667,0.1206897,0.6666667
96,0.5,0,0.1458333,0.1041667,0.8854167,0,0.725,0,0,0.1666667,0,1,0.3958333,0.125,1
600,0.505,0,0.0766667,0.0841751,0.8983333,0,0.7437186,0,0.0201005,0.0386473,0,0.9899497,0.2801932,0.2790698,1
9028,0.5148427,0.0025476,0.0444174,0.0278539,0.9570226,0.0143996,0.9017735,0.0009095,0.0154616,0.0196166,0.0013643,0.9877217,0.1038787,0.2341772,0.3333333
1502,0.4647137,0.6191744,0.1478029,0.1641791,0.8981358,0,0.7470817,0.0058366,0.0194553,0.0463822,0.5272374,0.9941634,0.2820037,0.1772152,0.25
1709,0.4792276,0,0.2264482,0.147191,0.8355764,0.0117028,0.6911765,0.0102941,0.0485294,0.0659341,0,0.9205882,0.4821429,0.220339,0.4285714
2006,0.4591226,0.0443669,0.2063809,0.1723502,0.8678963,0,0.6966161,0,0.0058343,0.1937912,0.0373396,0.9988331,0.2841016,0.0683761,0.952381
639,0.4929577,0,0.1893584,0.1049383,0.85759,0,0.6961538,0,0.0461538,0.1333333,0,0.9615385,0.4866667,0.1294118,0.8333333
3225,0.4862016,0.0046512,0.095814,0.0609535,0.9227907,0,0.8150134,0.002681,0.0303843,0.0158311,0.0044683,0.9937444,0.1521548,0.0422535,0.6666667
1100,0.4663636,0.0009091,0.2263636,0.1396934,0.77,0,0.6038462,0,0.0730769,0.3324775,0,1,0.2169448,0.03125,0.7222222
751,0.4620506,0,0.1877497,0.1757426,0.8442077,0,0.6602564,0,0.0352564,0.1008646,0,0.9935897,0.4380403,0.0636364,0.6
1186,0.4772344,0,0.0548061,0.0548387,0.9747049,0,0.9014085,0,0.0070423,0.1522388,0,0.0422535,0.4686567,0.4489796,1
4536,0.4817019,0.0013228,0.1097884,0.0995321,0.8701499,0.0063933,0.729714,0.007589,0.0461179,0.0488617,0.0011675,0.9970811,0.3786785,0.0685358,0.625
2922,0.4702259,0.0041068,0.1177276,0.0781654,0.8151951,0,0.6270627,0.0049505,0.060231,0.044164,0.0016502,0.9851485,0.3840694,0.0525253,0.3333333
828,0.4915459,0,0.0978261,0.0783848,0.9130435,0,0.7762712,0.0101695,0.0135593,0.0664557,0,0.9728814,0.193038,0.18,0.8
702,0.4373219,0.2806268,0.2193732,0.1772152,0.8433048,0,0.6572438,0.0070671,0.024735,0.2028169,0.2190813,1,0.4732394,0.0795455,0.5
148,0.4594595,0,0.2297297,0.15,0.9189189,0,0.7857143,0,0,0.2,0,1,0.2571429,0.1,0.6666667
365,0.4575342,0,0.1890411,0.1565657,0.8712329,0,0.6933333,0,0.0066667,0.1017964,0,1,0.1976048,0.0277778,1
1625,0.8553846,0.6707692,0.0504615,0.1617021,0.232,0.7390769,0.7142857,0,0.0062112,0.1153846,0.4720497,1,0.1373626,0.0952381,0.6666667
3989,0.496365,0.0007521,0.1536726,0.111996,0.8666332,0.0183003,0.7359781,0.004788,0.0348837,0.3632404,0,0.9890561,0.2839721,0.0973684,0.862069
929,0.474704,0.0043057,0.1227126,0.1004098,0.8439182,0,0.662234,0.0026596,0.0398936,0.1255814,0.0026596,0.9973404,0.2604651,0.0534351,0.6666667
14629,0.4767243,0.0010254,0.1925627,0.1205748,0.9056668,0.0012988,0.7823647,0.0010864,0.0235379,0.0203973,0.0012674,0.9773674,0.1945725,0.0193237,0.5294118
565,0.5079646,0.3769912,0.1752212,0.1438849,0.8619469,0,0.7027027,0.0045045,0.036036,0.0938776,0.3378378,1,0.2408163,0.24,1
2714,0.5055269,0.008843,0.2170228,0.2086438,0.6694915,0.2417097,0.7435567,0.0064433,0.0399485,0.0336239,0.0025773,0.9768041,0.2216687,0.0792683,0.25
