iter	Logloss
0	0.5961537596
1	0.5310599591
2	0.4720048459
3	0.4330530254
4	0.4060079391
5	0.3847567665
6	0.3701460907
7	0.3595743704
8	0.3504770616
9	0.3448793536
10	0.3381064353
11	0.3326618944
12	0.3279079979
13	0.3248763727
14	0.3223582388
15	0.3196843762
16	0.3169749151
17	0.3151168004
18	0.313732744
19	0.3118957371
20	0.3104133208
21	0.3093639324
22	0.3076254466
23	0.3063915364
24	0.3058206404
25	0.304535861
26	0.3035157413
27	0.3020278983
28	0.3014925435
29	0.3010068281
30	0.3003706611
31	0.2995545045
32	0.2989703083
33	0.2981694833
34	0.2975067867
35	0.2969558197
36	0.296354817
37	0.2959344688
38	0.2951675736
39	0.2938151833
40	0.2934647543
41	0.2931650655
42	0.2924717008
43	0.2915054859
44	0.2909231721
45	0.2902827114
46	0.2900046952
47	0.289703496
48	0.2893318032
49	0.2890319479
50	0.2888055406
51	0.2886101726
52	0.2882315636
53	0.2878941033
54	0.2876110555
55	0.2872938789
56	0.2870620067
57	0.2869689358
58	0.2866184369
59	0.2863077991
60	0.2853635402
61	0.2851311773
62	0.2849277534
63	0.2846684611
64	0.2845916027
65	0.2838060006
66	0.2836958387
67	0.2834921636
68	0.2833642217
69	0.2831498989
70	0.2829789711
71	0.2828347592
72	0.2827963374
73	0.282577772
74	0.2821270481
75	0.2819743073
76	0.2817933312
77	0.2815836215
78	0.2815127118
79	0.2808594613
80	0.2806077329
81	0.280416924
82	0.2802450308
83	0.2799681052
84	0.2797637632
85	0.2796877834
86	0.2794727916
87	0.2794356301
88	0.2793106157
89	0.2791755031
90	0.2790965989
91	0.2788734874
92	0.2787526843
93	0.2785964505
94	0.2784632691
95	0.278359288
96	0.2783302826
97	0.2782175631
98	0.2781156949
99	0.2777395477
100	0.2776425714
101	0.2775477898
102	0.277437455
103	0.2770744221
104	0.2769320383
105	0.2766973803
106	0.2764366881
107	0.2762718792
108	0.2761978685
109	0.2760577518
110	0.2759876914
111	0.2758296899
112	0.2751559944
113	0.2750468307
114	0.2747735244
115	0.274591867
116	0.2741608922
117	0.2740671635
118	0.2739556898
119	0.2730244567
120	0.2728874349
121	0.2728774218
122	0.2726829247
123	0.2725162873
124	0.2721050238
125	0.2715206603
126	0.2714718471
127	0.271454304
128	0.2713482049
129	0.2710682478
130	0.2709099154
131	0.2700747361
132	0.2699724986
133	0.2699301814
134	0.2698081494
135	0.2697895216
136	0.2697222102
137	0.2695223685
138	0.2695133829
139	0.2694057422
140	0.2692622241
141	0.2690141306
142	0.2688652476
143	0.268396865
144	0.2683597126
145	0.2682759206
146	0.2680956505
147	0.2679384337
148	0.267924339
149	0.2677764967
150	0.2674496092
151	0.2673512025
152	0.2672547779
153	0.2671927847
154	0.2671086261
155	0.267027562
156	0.2669605354
157	0.2669344758
158	0.2668354497
159	0.2663667124
160	0.2663439015
161	0.2662353727
162	0.26616447
163	0.2659287382
164	0.2659243887
165	0.2658225845
166	0.2656433455
167	0.265624376
168	0.2655151256
169	0.2654489956
170	0.2653855077
171	0.2652159766
172	0.2650718467
173	0.2650617614
174	0.2649885477
175	0.2648420497
176	0.2646382692
177	0.2645087415
178	0.2644258917
179	0.2644033249
180	0.2643020099
181	0.2641814339
182	0.2640830423
183	0.263982695
184	0.2637748763
185	0.2637321969
186	0.2637089128
187	0.2636202315
188	0.2635617343
189	0.2634663036
190	0.2634420794
191	0.2633772166
192	0.2631886068
193	0.2630541491
194	0.2629918276
195	0.2629607571
196	0.2629490161
197	0.2628230808
198	0.262729347
199	0.2627212665
200	0.2626952089
201	0.2623620079
202	0.2623503673
203	0.262284717
204	0.262149213
205	0.2621177154
206	0.2620332018
207	0.2619162026
208	0.2618724159
209	0.2617577687
210	0.2615641843
211	0.261413865
212	0.2614004438
213	0.2613936322
214	0.2612705659
215	0.2612218778
216	0.2610945802
217	0.2610330035
218	0.2610051044
219	0.2609032802
220	0.2608971539
221	0.2608049843
222	0.2606841347
223	0.2605397155
224	0.2604470181
225	0.260406445
226	0.260363387
227	0.2603186132
228	0.2601602407
229	0.260090677
230	0.2600020029
231	0.2599288497
232	0.2599011188
233	0.259823316
234	0.259761779
235	0.2596850123
236	0.2596061407
237	0.2594800535
238	0.2594083615
239	0.2593440297
240	0.259305281
241	0.2592561426
242	0.2591787974
243	0.2590464376
244	0.2590028852
245	0.2589794799
246	0.2589203154
247	0.2587378368
248	0.2586794436
249	0.2584637939
250	0.2584333232
251	0.2583245485
252	0.2582264653
253	0.2581322329
254	0.2581161894
255	0.2579872328
256	0.2578445239
257	0.257820983
258	0.257746143
259	0.2576745977
260	0.2575783228
261	0.2575712889
262	0.2574884455
263	0.2574366373
264	0.2574080075
265	0.2572782734
266	0.2572772511
267	0.2572520169
268	0.2570920075
269	0.2570897097
270	0.2569739768
271	0.256962675
272	0.2569431202
273	0.2569050836
274	0.2568222614
275	0.2568164592
276	0.2566753791
277	0.2566716844
278	0.2565183212
279	0.2563891154
280	0.2563173497
281	0.2562752987
282	0.25622176
283	0.256116463
284	0.2561060431
285	0.2559771777
286	0.2559364311
287	0.2559186709
288	0.2558938683
289	0.2557521294
290	0.2556762207
291	0.2556530921
292	0.2555378297
293	0.2555316017
294	0.2555134174
295	0.2555003591
296	0.2554512056
297	0.2554466388
298	0.2554230869
299	0.2553568958
300	0.2553257947
301	0.255263843
302	0.2552176862
303	0.2551596231
304	0.2551137949
305	0.2551035473
306	0.2550443926
307	0.255018281
308	0.2549206395
309	0.2548618908
310	0.2547861031
311	0.2547363048
312	0.2546924811
313	0.2546555285
314	0.2546266406
315	0.2545776234
316	0.2544980243
317	0.2544295376
318	0.2543268142
319	0.2542358825
320	0.2541359964
321	0.2540753289
