iter	Passed	Remaining
0	31	31196
1	52	26031
2	82	27416
3	104	26003
4	117	23476
5	132	22012
6	147	20890
7	163	20295
8	178	19635
9	193	19124
10	207	18625
11	221	18267
12	237	18031
13	251	17687
14	265	17415
15	280	17273
16	300	17349
17	313	17092
18	327	16903
19	343	16809
20	357	16648
21	372	16545
22	387	16476
23	402	16387
24	418	16310
25	435	16302
26	461	16639
27	493	17144
28	517	17322
29	555	17962
30	580	18148
31	600	18159
32	615	18023
33	630	17918
34	644	17771
35	659	17656
36	673	17519
37	688	17417
38	703	17337
39	717	17216
40	732	17123
41	747	17059
42	763	17000
43	781	16974
44	796	16910
45	811	16832
46	825	16747
47	841	16692
48	856	16621
49	870	16548
50	885	16473
51	901	16436
52	917	16400
53	935	16385
54	964	16574
55	985	16613
56	1002	16579
57	1022	16613
58	1048	16723
59	1073	16823
60	1092	16810
61	1114	16863
62	1135	16881
63	1162	16999
64	1181	16995
65	1201	17002
66	1222	17017
67	1247	17093
68	1265	17078
69	1283	17046
70	1300	17020
71	1318	16998
72	1331	16905
73	1350	16899
74	1372	16929
75	1385	16847
76	1399	16770
77	1416	16747
78	1431	16686
79	1446	16637
80	1463	16605
81	1479	16560
82	1494	16511
83	1510	16470
84	1524	16411
85	1538	16351
86	1553	16307
87	1564	16211
88	1576	16134
89	1591	16090
90	1607	16052
91	1629	16080
92	1652	16115
93	1666	16064
94	1682	16027
95	1699	16000
96	1713	15955
97	1729	15918
98	1744	15877
99	1763	15873
100	1778	15830
101	1796	15812
102	1810	15764
103	1821	15695
104	1836	15653
105	1853	15629
106	1867	15584
107	1882	15546
108	1897	15510
109	1911	15463
110	1925	15419
111	1940	15384
112	1955	15349
113	1973	15336
114	1989	15313
115	2006	15287
116	2030	15321
117	2048	15311
118	2077	15380
119	2108	15462
120	2130	15473
121	2145	15437
122	2162	15415
123	2177	15384
124	2193	15355
125	2209	15327
126	2222	15274
127	2236	15233
128	2255	15226
129	2275	15227
130	2292	15210
131	2316	15233
132	2350	15321
133	2378	15371
134	2401	15389
135	2420	15379
136	2438	15359
137	2457	15350
138	2478	15349
139	2510	15421
140	2533	15431
141	2559	15464
142	2592	15536
143	2615	15550
144	2638	15558
145	2668	15609
146	2702	15680
147	2727	15699
148	2744	15674
149	2766	15675
150	2787	15674
151	2809	15675
152	2829	15664
153	2854	15682
154	2885	15731
155	2911	15750
156	2938	15777
157	2956	15756
158	2972	15722
159	2990	15699
160	3005	15660
161	3021	15631
162	3038	15600
163	3055	15574
164	3069	15532
165	3132	15740
166	3158	15753
167	3176	15731
168	3191	15691
169	3205	15649
170	3217	15597
171	3233	15565
172	3250	15540
173	3262	15488
174	3276	15444
175	3290	15403
176	3306	15372
177	3324	15350
178	3343	15334
179	3358	15299
180	3375	15274
181	3397	15268
182	3411	15230
183	3427	15200
184	3442	15163
185	3464	15161
186	3474	15107
187	3491	15079
188	3506	15044
189	3517	14996
190	3533	14967
191	3550	14941
192	3573	14941
193	3590	14917
194	3607	14893
195	3619	14845
196	3628	14792
197	3647	14773
198	3660	14733
199	3673	14695
200	3688	14660
201	3703	14630
202	3724	14622
203	3755	14653
204	3781	14663
205	3808	14678
206	3830	14675
207	3852	14669
208	3876	14669
209	3919	14743
210	3940	14734
211	3955	14702
212	3969	14667
213	3978	14613
214	3994	14583
215	4009	14553
216	4027	14531
