dissim	el0	el1	el2	el3	el4	el5	el6	el7	el8	el9	el10	el11	el12	el13	el14	el15	el16	el17	el18	el19	el20	el21	el22	el23	el24	el25	el26	el27	el28	el29	el30	el31	max_el	diff	diffplus	diffminus	std	diff/std**0.2	diff/std**0.6	diff/std**1	diff/std**1.4	diff/std**2	maxmiddle	similarwindow_4.0	similarwindow_4.1	similarwindow_4.2	similarwindow_4.3	stat0	stat1	stat2	stat3	stat4	stat5	stat6	stat7	stat8	stat9	stat10	stat11	stat12	stat13	stat14	stat15	stat16	stat17	stat18	stat19	stat20	stat21	stat22	stat23	stat24	stat25	stat26	stat27	stat28	stat29	stat30	stat31	stat32	stat33	stat34	stat35	stat36	stat37	stat38	stat39	stat40	stat41	stat42	stat43	stat44	stat45	stat46	stat47	stat48	stat49	stat50	stat51	stat52	stat53	stat54	stat55	stat56	stat57	stat58	stat59	stat60	stat61	stat62	stat63	stat64	stat65	stat66	stat67	stat68	stat69	stat70	stat71	stat72	stat73	stat74	stat75	stat76	class
0.014716	0.1878	0.43806	0.45834	0.63758	0.55136	0.37581	0.60142	0.6805	0.59751	0.55046	0.52852	0.48177	0.42558	0.51768	0.54613	0.52341	0.50031	0.63586	0.6858	0.701	0.51399	0.35119	0.0949	0.03833	0.061812	0.047291	0.051407	0.049327	0.058165	0.037175	0.057705	0.042238	0.701	0.5441	0.31513	-0.22897	0.099244	0.54406	0.54441	0.54278	0.5363	0.5015	0.28333	0.20973	0.54393	0.41356	0.8797	0.038227	0.065959	0.16667	0.31545	0.2693	0.18485	0.29869	0.33641	0.29253	0.16542	0.14943	0.14081	0.16924	0.25087	0.26517	0.25328	0.22039	0.19085	0.20952	0.11046	0.055804	0.083556	0.022507	0.0066	0.014193	0.0057554	0.0049479	0.00083071	0.0043033	0.018359	0.0055602	0.0080722	0.057161	0.31051	0.11752	0.23504	0.11811	-0.02645	0.090807	0.094011	0.1085	0.10056	0.089913	0.094911	0.10582	0.11369	0.12407	0.11427	0.082355	0.11769	0.1154	0.11941	0.11623	0.092891	0.090542	-0.062877	-0.13594	0.098476	0.13011	-0.1065	0.11701	0.13324	-0.050785	0.06521	0.036487	-0.14097	-0.13731	0.027766	0.067424	0.026557	0.024159	0.28938	-0.036231	-0.043291	-0.034747	0.04416	1.8212	1176
0.013158	0.18302	0.4246	0.40473	0.60169	0.51833	0.33486	0.54807	0.66446	0.58404	0.54892	0.52618	0.47335	0.4068	0.50043	0.5275	0.51142	0.48194	0.61765	0.66116	0.66825	0.49762	0.35022	0.093211	0.037917	0.060073	0.043249	0.051721	0.044433	0.060025	0.038334	0.060727	0.049761	0.66825	0.39242	0.15424	-0.23819	0.081541	0.4081	0.44155	0.47543	0.5053	0.51304	0.49219	0.24786	0.61788	0.83887	0.84294	0.074368	0.074828	0.054859	0.10679	0.09995	0.053606	0.10603	0.13878	0.12369	0.11857	0.091331	0.14117	0.19845	0.17454	0.18116	0.1573	0.2275	0.29539	0.31529	0.31785	0.23689	0.16949	0.026821	0.0016433	0.0018695	0.0015268	0.0072217	0.0054662	0.0064471	0.0024878	0.019795	0.0040097	0.13903	0.25174	0.068487	0.19645	0.1413	0.029976	0.13944	-0.13954	-0.10285	-0.05386	0.0074272	-0.075012	-0.14039	-0.14072	-0.14035	0.02965	0.10989	0.073808	0.085177	0.016164	0.11521	0.13374	0.13732	0.1406	0.13952	0.082008	-0.054057	-0.13668	-0.085318	0.0067419	0.14128	-0.108	-0.14089	-0.12009	0.13896	-0.13761	0.043574	0.060245	0.1261	0.24403	-0.037238	-0.027531	-0.013071	0.038799	1.7916	667.5
0.015697	0.43965	0.50441	0.46251	0.33274	0.34521	0.33616	0.32755	0.33418	0.32197	0.3328	0.37704	0.24924	0.38725	0.35401	0.24337	0.32951	0.26362	0.12747	0.14663	0.11863	0.11481	0.29284	0.099342	0.02489	0.025512	0.023261	0.025651	0.021495	0.030148	0.026271	0.02501	0.023158	0.50441	0.35771	0.25085	-0.10686	0.063783	0.3907	0.46607	0.55217	0.64113	0.70579	0.24792	0.12641	0.62235	0.93345	0.94328	0.24773	0.27162	0.24694	0.18159	0.19707	0.19613	0.11886	0.1566	0.15685	0.15009	0.19765	0.14929	0.20762	0.18091	0.13345	0.17543	0.13486	0.058881	0.068731	0.049485	0.05488	0.1361	0.04518	0.0039494	0.0031529	0.0078336	0.00082754	0.0066584	0.0072904	0.0027284	0.0086223	0.0013508	0.08066	0.25927	0.24711	0.23553	-0.11587	-0.11887	-0.13618	-0.14072	-0.089934	-0.039733	-0.07826	-0.012653	0.014772	0.0071649	0.037037	-0.090124	0.018082	0.060583	0.00066724	0.0238	0.059549	0.09852	0.11261	0.12926	0.1344	0.1404	0.13885	-0.13993	-0.12619	0.13718	-0.1233	-0.14056	-0.13959	0.043286	0.1389	0.1412	0.14376	-0.0072565	0.17848	0.18583	-0.03819	-0.053849	-0.011112	-0.015158	1.7953	667
0.0071592	0.1431	0.18506	0.22838	0.2782	0.27354	0.13487	0.21465	0.14909	0.21878	0.27011	0.23966	0.26556	0.27547	0.24084	0.29112	0.20701	0.13361	0.27515	0.13906	0.17635	0.15079	0.23094	0.11172	0.027833	0.027043	0.0297	0.032252	0.028019	0.023787	0.028372	0.022865	0.025492	0.29112	0.22904	0.1285	-0.10054	0.04411	0.26927	0.37185	0.50774	0.66763	0.77754	0.26927	0.14493	0.80622	0.82543	0.79517	0.029048	0.068959	0.0097511	0.055095	0.045876	0.062719	0.10347	0.061944	0.10326	0.13872	0.11496	0.12609	0.10728	0.093665	0.13097	0.092373	0.063705	0.13142	0.067838	0.085644	0.071693	0.096212	0.052439	0.012793	0.0022916	0.0066099	0.0047486	0.0054164	0.01021	0.0070043	0.003324	0.003872	0.19289	0.19462	0.20901	0.20565	-0.085271	0.00096136	-0.082505	0.11301	-0.050332	0.13962	0.094878	0.011838	0.073066	0.055869	0.11753	0.1407	0.13824	0.12228	0.079357	0.029654	0.13749	0.1353	0.10992	0.11511	0.14108	0.13999	0.14116	0.13973	0.016172	0.13466	-0.13597	-0.14069	0.1381	0.13993	0.14134	0.13005	0.45489	0.070286	0.36878	0.27404	0.15191	-0.0096687	0.098196	0.046986	1.7445	388.5
0.0045044	0.075875	0.68617	0.24885	0.16535	0.076244	0.083917	0.071863	0.048312	0.054726	0.065139	0.055802	0.041162	0.034467	0.028887	0.030318	0.020197	0.029743	0.027247	0.021575	0.043755	0.039064	0.034302	0.067802	0.052402	0.052683	0.099335	0.067519	0.045129	0.050122	0.044684	0.058206	0.066946	0.68617	0.10113	0.055205	-0.045923	0.024789	0.13339	0.23139	0.39214	0.60551	0.62638	0.41719	0.068381	0.15714	0.16487	0.16524	0.019434	0.33233	0.10282	0.077383	0.032826	0.036586	0.0037156	0.00074334	0.0090361	0.005714	0.016665	0.0073725	0.0025251	0.0066319	0.0088244	0.00053613	0.0035729	0.0040136	0.0025491	0.0077177	0.016888	0.0084143	0.021509	0.006121	0.015002	0.037209	0.014715	0.010119	0.0077921	0.0062451	0.0051517	0.00080904	0.053575	0.18005	0.075628	0.11911	0.12752	0.11837	0.1063	0.13204	0.11828	0.13635	-0.040589	0.12488	0.14056	0.13886	0.14108	0.13998	-0.046013	0.1414	0.082842	0.085241	0.023184	-0.11264	0.07464	-0.082744	0.10003	0.12811	0.1413	-0.016555	0.14112	0.14138	-0.11504	0.12612	0.054761	-0.086204	-0.0037823	0.047539	0.40231	0.73747	0.51011	1.0128	0.12028	0.48159	0.21153	1.0901	0.63256	254.5
0.014796	0.17712	0.21463	0.36336	0.36515	0.25911	0.59126	0.71344	0.7794	0.77694	0.7195	0.55859	0.45081	0.47661	0.56441	0.50813	0.4578	0.43632	0.43469	0.31736	0.26318	0.3629	0.4866	0.21907	0.037985	0.045802	0.031587	0.04261	0.040921	0.043763	0.036597	0.041954	0.036972	0.7794	0.29507	0.2085	-0.086578	0.067098	0.31904	0.37301	0.43331	0.49417	0.53629	0.56302	0.21082	0.69589	0.64084	0.75449	0.075288	0.053276	0.10497	0.10415	0.071375	0.15431	0.17152	0.13768	0.12298	0.11428	0.093979	0.096769	0.16314	0.20355	0.22393	0.24286	0.1988	0.21024	0.15199	0.13685	0.18243	0.24952	0.10705	0.012469	0.0036124	0.0050727	0.0035257	0.014996	0.0043725	0.0025579	0.0043626	0.0022371	0.026077	0.20176	0.13425	0.16732	-0.086018	-0.13918	0.031087	0.087281	-0.09189	0.019902	0.12573	0.056543	0.063371	0.012746	-0.11399	-0.11802	-0.067565	-0.041635	-0.029383	0.005349	0.0083056	0.023306	0.018671	0.044269	0.077096	0.057312	0.081827	0.13181	-0.099511	-0.039788	0.12753	0.12119	-0.12267	-0.12895	-0.13062	0.0037314	0.34828	0.12277	-0.040727	0.21804	0.068801	-0.029651	-0.04268	0.010693	1.7651	1583.5
0.013287	0.10909	0.19439	0.27521	0.28684	0.20157	0.46565	0.52055	0.57307	0.59141	0.57639	0.45906	0.38641	0.40304	0.49581	0.43945	0.40544	0.38703	0.38115	0.28586	0.23837	0.33713	0.47489	0.21514	0.035518	0.055719	0.037865	0.040604	0.040808	0.043766	0.034648	0.041051	0.028902	0.59141	0.46739	0.23902	-0.22836	0.082694	0.48469	0.5215	0.55844	0.59048	0.59628	0.31615	0.28156	0.9082	1.1341	1.2542	0.021962	0.04552	0.051359	0.077833	0.080508	0.22252	0.264	0.30008	0.30386	0.28707	0.2245	0.16717	0.19171	0.2365	0.2122	0.18916	0.16322	0.084379	0.13723	0.066992	0.091223	0.16862	0.078724	0.0043274	0.014665	0.004929	0.00097083	0.0022407	0.009357	0.003438	0.0084525	0.0038622	0.10738	0.31506	0.15804	0.23915	-0.035032	0.055434	0.14131	0.13898	0.14024	0.13473	0.068089	0.038013	0.055438	0.08685	0.10709	0.13677	0.14053	0.137	0.12196	0.092431	0.11487	0.070228	0.10333	0.017819	0.050733	0.015553	0.056904	-0.10953	-0.13805	0.13848	0.0013347	0.074039	0.13033	0.14128	-0.11362	-0.14142	-0.057267	0.0455	0.16105	0.24575	-0.044272	-0.037304	-0.0092265	0.036321	1.9078	2437.5
0.011317	0.1632	0.18426	0.28753	0.12748	0.083734	0.15407	0.11255	0.16272	0.15415	0.48059	0.5654	0.75389	0.73121	0.72279	0.70492	0.66125	0.64738	0.55663	0.42855	0.25461	0.16098	0.48876	0.10847	0.054771	0.063132	0.07602	0.080954	0.04054	0.057956	0.067286	0.066902	0.055445	0.75389	0.41283	0.25033	-0.1625	0.062403	0.45287	0.54495	0.65111	0.76184	0.84351	0.32708	0.12104	0.68693	0.55091	0.60769	0.041985	0.029598	0.055859	0.038802	0.025083	0.052001	0.031871	0.045928	0.031662	0.13512	0.22214	0.26896	0.23578	0.27964	0.33732	0.31003	0.31787	0.26595	0.17326	0.12224	0.077462	0.22069	0.052367	0.0066189	0.008145	0.019248	0.0069451	0.0049599	0.020997	0.004803	0.0012258	0.0091826	0.026071	0.27238	0.10627	0.19842	-0.049567	0.13762	0.1414	0.042946	-0.10752	0.067254	0.051953	0.026382	-0.0022439	-0.0028903	0.05551	0.015217	0.0045243	0.037124	0.062675	0.080701	0.10249	0.099159	0.11399	0.1289	0.12619	0.12565	0.12221	0.029924	-0.12832	0.039993	-0.11127	-0.092166	0.10673	0.12659	-0.14125	0.12298	0.3125	0.1638	0.14388	0.40606	0.067185	-0.031056	-0.029144	0.10984	1.4689	458
0.010807	0.14988	0.17332	0.26436	0.12709	0.078238	0.14862	0.11052	0.16017	0.14832	0.47348	0.55547	0.73464	0.71255	0.70117	0.6871	0.65203	0.63929	0.55074	0.4243	0.25114	0.15824	0.48705	0.10874	0.053109	0.059764	0.073975	0.077435	0.040673	0.056803	0.069527	0.068862	0.0539	0.73464	0.39953	0.1957	-0.20383	0.071689	0.42631	0.48548	0.54965	0.61217	0.65078	0.24271	0.17418	0.65513	0.63731	0.60097	0.019473	0.016291	0.05227	0.03903	0.013505	0.027504	0.052413	0.076213	0.070573	0.2253	0.26446	0.34962	0.33898	0.33387	0.32677	0.2642	0.21996	0.11568	0.12995	0.037202	0.0052935	0.057755	0.023052	0.0010741	0.0039778	0.0049664	0.028252	0.016449	0.0066051	0.015931	0.005185	0.01259	0.065555	0.30832	0.072486	0.2085	-0.12805	0.10972	-0.14058	0.14031	-0.052969	0.13582	0.14109	0.14011	0.14013	0.14007	0.1394	0.13988	0.14036	0.13922	0.14076	0.13504	0.12568	0.054435	0.10312	0.071178	-0.015357	-0.11694	0.002401	0.079799	-0.10051	0.001182	0.14117	-0.14137	-0.026059	-0.12275	0.075278	0.1393	0.075105	0.21592	0.1887	0.50954	-0.048859	-0.010991	-0.014685	0.20028	1.3486	535
0.0072443	0.089823	0.2917	0.15517	0.26641	0.32266	0.13999	0.072175	0.053778	0.069732	0.082982	0.080878	0.13118	0.15809	0.17365	0.31566	0.40491	0.48775	0.5094	0.52399	0.42538	0.23524	0.086355	0.017347	0.02177	0.026519	0.047459	0.028705	0.030569	0.041696	0.028746	0.032087	0.033822	0.52399	0.23189	0.1246	-0.10729	0.0412	0.27636	0.3921	0.54949	0.73827	0.85965	0.40104	0.21061	0.70196	0.64331	0.71063	0.036818	0.042195	0.011669	0.058656	0.080759	0.0492	0.034338	0.01162	0.033229	0.040146	0.013893	0.030476	0.023267	0.074184	0.15164	0.19408	0.23452	0.24665	0.25403	0.20231	0.11204	0.01858	0.00029022	0.0016821	0.0067999	0.0035771	0.0054259	0.0053084	0.0048088	0.0021158	0.00097395	0.0058911	0.20415	0.26341	0.21296	0.23428	0.13582	-0.019692	0.13819	0.097176	0.066889	-0.14142	0.1403	-0.1151	0.13825	0.11968	-0.053789	0.070745	-0.11368	0.13571	0.12816	0.13095	0.12711	0.11869	0.11719	0.14071	0.13894	-0.050288	0.025026	-0.03695	0.14057	0.092529	0.13576	-0.13149	0.13906	0.067229	-0.14116	-0.12318	0.46321	0.16931	0.37249	0.30705	0.15749	-0.012309	0.090499	0.046702	1.4366	623
